post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
144275748.stretching-your-tdd-skills,2024-05-03T16:04:30.074Z,true,2024-05-03T16:04:30.997Z,2024-05-03T16:04:30.997Z,newsletter,everyone,Stretching Your TDD Skills,,
144169196.state-of-thinkies,2024-05-03T13:45:27.922Z,true,2024-05-03T13:45:28.384Z,2024-05-03T13:45:28.384Z,newsletter,only_paid,State of Thinkies,"44 down, a bunch more to go",
144166698.thinkie-just-apply,2024-04-30T13:25:13.990Z,true,2024-04-30T13:25:14.315Z,2024-04-30T13:25:14.315Z,newsletter,only_paid,Thinkie: Just Apply,,
144086212.comparisons-are-worse-than,,false,,,newsletter,only_paid,,,
143871880.one-at-a-time,2024-04-24T13:15:51.644Z,true,2024-04-24T13:15:52.121Z,2024-04-24T13:15:52.121Z,newsletter,everyone,One At A Time,But One What?,
143871438.thinkie-half-wavelength-shift,2024-04-23T13:14:59.639Z,true,2024-04-23T13:15:00.365Z,2024-04-23T13:15:00.365Z,newsletter,only_paid,Thinkie: Half Wavelength Shift,,
143767382.the-saff-squeeze,2024-04-29T12:49:47.263Z,true,2024-04-29T12:49:47.772Z,2024-04-29T12:49:47.772Z,newsletter,everyone,The Saff Squeeze,,
143763659.untangling-spaghetti-debugging-non,2024-04-22T13:44:48.399Z,true,2024-04-22T13:44:49.752Z,2024-04-22T13:44:49.752Z,newsletter,everyone,Untangling Spaghetti: Debugging Non-Terminating Object Programs,"Make an understandable mess, fix the bug, then make it easier to understand",
143752936.ai-and-software-development-2,2024-04-19T17:48:36.966Z,true,2024-04-19T17:48:38.313Z,2024-04-19T17:48:38.313Z,newsletter,only_paid,AI & Software Development 2,2 more missing topics,
143682279.ai-and-software-development,2024-04-18T18:15:02.614Z,true,2024-04-18T18:15:03.281Z,2024-04-18T18:15:03.281Z,newsletter,only_paid,AI & Software Development,Raw Thoughts,
143680772.thinkie-self-description,2024-04-17T16:38:21.569Z,true,2024-04-17T16:38:22.455Z,2024-04-17T16:38:22.455Z,newsletter,only_paid,Thinkie: Self-description,,
143527791.discount-ends-today,2024-04-12T17:58:04.001Z,true,2024-04-12T17:58:04.501Z,2024-04-12T17:58:04.501Z,newsletter,only_free,Discount Ends Today,,
143404859.to-test-or-not-to-test-thats-a-good,2024-04-12T13:23:47.971Z,true,2024-04-12T13:23:48.559Z,2024-04-12T13:23:48.559Z,newsletter,everyone,To Test or Not to Test? That’s a Good Question,,
143401789.getting-there-from-here,2024-04-10T12:21:50.279Z,true,2024-04-10T12:21:51.797Z,2024-04-10T12:21:51.797Z,newsletter,only_paid,Getting There From Here,,
143281772.birthday-special-30-off-until-april,2024-04-04T22:07:20.232Z,true,2024-04-04T22:07:20.558Z,2024-04-04T22:07:20.558Z,newsletter,only_free,"Birthday Special: 30% off until April 11, 2024",,
143105132.thinkie-latency-or-throughput,2024-04-09T13:09:29.311Z,true,2024-04-09T13:09:30.011Z,2024-04-09T13:09:30.011Z,newsletter,only_paid,Thinkie: Latency Or Throughput?,,
143104840.thinkie-reduce-variance,2024-03-30T15:05:53.486Z,true,2024-03-30T15:05:54.053Z,2024-04-09T13:05:30.251Z,newsletter,everyone,Thinkie: Reduce Variance,,
